lu-code,land_use_text
1,RESIDENTIAL-SINGLE FAMILY
2,RESIDENTIAL-TWO FAMILY
3,RESIDENTIAL-MULTI FAMILY
4,RESIDENTIAL/COMMERCIAL MIXED
5,RETAIL AND WHOLESALE TRADE
6,"SERVICES,FINANCE,INS,R.E."
7,COMMERCIAL-MIXED
8,"MFG,CONSTR,WAREHOUSE"
9,TRANSPORTATION AND UTILITIES
10,AGRICULTURE
11,PUBLIC/QUASI PUBLIC STRUCTURE
12,PUBLIC/QUASI-PUBLIC NO-STR
13,VACANT PUBLIC/PRIVATE LOT
